Tanggal;NO2 (Harian);NO2 (30-hari MA);CO (Harian);CO (30-hari MA);SO2 (Harian);SO2 (30-hari MA)
45899;14,36350297;14,36350297;0,062435617;0,062435617;0,624356166;0,624356166
45900;28,76785766;21,56568032;0,143100003;0,10276781;1,431000029;1,027678098
45901;23,29984855;22,14373639;0,112479152;0,106004924;1,124791519;1,060049238
45902;19,9664621;21,59941782;0,093812188;0,10295674;0,938121878;1,029567398
45903;8,900466011;19,05962746;0,03184261;0,088733914;0,318426097;0,887339138
45904;8,899863008;17,36633338;0,031839233;0,079251467;0,318392328;0,792514669
45905;6,452090304;15,8071558;0,018131706;0,070520072;0,181317057;0,705200725
45906;26,65440364;17,16306178;0,13126466;0,078113146;1,312646604;0,78113146
45907;20,02787529;17,48137439;0,094156102;0,079895697;0,941561016;0,798956966
45908;22,70181444;18,0034184;0,109130161;0,082819143;1,091301609;0,82819143
45909;5,514612357;16,8680724;0,012881829;0,076461205;0,128818292;0,764612054
45910;29,2477463;17,89971189;0,145787379;0,082238387;1,457873793;0,822383866
45911;25,81106602;18,50827759;0,12654197;0,085646355;1,265419697;0,856463545
45912;10,30847777;17,9225776;0,039727475;0,082366435;0,397274755;0,823664346
45913;9,54562418;17,36411404;0,035455495;0,079239039;0,354554954;0,792390386
45914;9,585112746;16,87792646;0,035676631;0,076516388;0,356766314;0,765163882
45915;12,60605607;16,62663997;0,052593914;0,075109184;0,52593914;0,751091838
45916;18,11891079;16,7095439;0,0834659;0,075573446;0,834659004;0,755734458
45917;15,79862547;16,66160083;0,070472303;0,075304965;0,704723026;0,753049646
45918;12,2807285;16,44255721;0,05077208;0,07407832;0,507720796;0,740783204
45919;20,29632237;16,62606984;0,095659405;0,075105991;0,956594053;0,751059911
45920;8,487346516;16,25612787;0,02952914;0,073034316;0,295291405;0,730343161
45921;12,30361621;16,08427953;0,050900251;0,072071965;0,509002508;0,720719654
45922;14,15904608;16,00406147;0,061290658;0,071622744;0,612906581;0,716227443
45923;16,40174961;16,019969;0,073849798;0,071711826;0,738497978;0,717118264
45924;24,62939903;16,35110092;0,119924635;0,073566165;1,199246346;0,735661652
45925;9,991844554;16,11557291;0,03795433;0,072247208;0,379543295;0,722472083
