DATE_TIME,CO,NO2,SO2,CH4
2025-08-30,,,,
2025-08-31,,,7.386825927824248e-06,
2025-09-01,,,,
2025-09-02,,,-0.000234666295000352,
2025-09-03,,,,
2025-09-04,,,,
2025-09-05,,,,
2025-09-06,0.02654056437313557,1.030403200275032e-05,0.0001949129073182121,
2025-09-07,,,,
2025-09-08,,,6.852320666439482e-07,
2025-09-09,,,1.297364451602334e-05,
2025-09-10,,,,
2025-09-11,,,,
2025-09-12,0.02572784572839737,,,
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,0.02577512711286545,,-7.023982470855117e-05,
2025-09-16,,1.286085171159357e-05,0.0001906051184050739,
2025-09-17,,1.28814926938503e-05,6.44826068310067e-05,
2025-09-18,,1.844873850131989e-06,-4.876991442870349e-05,
2025-09-19,,,,
2025-09-20,,,4.285563409212045e-05,
2025-09-21,0.02956907823681831,,,
2025-09-22,,,7.223220018204302e-05,
2025-09-23,0.03687675297260284,-2.132771754759233e-07,-9.24184041650733e-06,
2025-09-24,,,,
2025-09-25,,,-0.0001611405605217442,
2025-09-26,0.02728795073926449,1.800070776880602e-06,-1.531498492113315e-05,
2025-09-27,0.02331777475774288,,,
2025-09-28,,,,
2025-09-29,,,,
2025-09-30,0.03143143281340599,5.958593192190165e-06,4.615540819941089e-05,
2025-10-01,,-2.903822426958413e-08,2.96921771223424e-05,
2025-10-02,0.02485382743179798,-4.390814410726307e-06,-0.0001230676134582609,
2025-10-03,,,,
2025-10-04,,,,
2025-10-05,,2.618887720018392e-06,0.0001151385004050098,
2025-10-06,,4.341601652413374e-06,-8.667224028613418e-05,
2025-10-07,,,,
2025-10-08,0.02723526023328304,2.136485272785649e-05,-2.979370401590131e-05,
2025-10-09,,-5.238175617705565e-06,7.148550503188744e-05,
2025-10-10,,,,
2025-10-11,,,,
2025-10-12,,,,
2025-10-13,,,,
2025-10-14,0.03395887836813927,9.989468708226923e-06,4.861436173086986e-05,
2025-10-15,,1.623395110073034e-05,4.280459506844636e-06,
